business_name,record_type,record_number,record_status,applicant_address,office_address,mailing_address,initial_filing_date,business_purpose_NAICS_codes,agent_names,registrant_names,registrant_type,registrant_street_address,registrant_mailing_address,name_matches,type_match,status_match,resignation_dateh,agent_street_address,agent_mailing_address
Hasgas General Store,Assumed Name,173461,Inactive - Expired,," DORSET, VT, USA","1791 RTE 30, DORSET, VT, 05251, USA",2001-09-24,,,"HASKINS GAS SERVICE  INC, HASKINS GAS SERVICE, INC.",Individual,"1791 RTE 30, DORSET, VT, 05251, USA, 1791 route 30, Dorset, VT, 05251, USA","None, 1791 route 30, 1791 route 30, DORSET, VT, 05251, USA",,,,,,
"Mcgill's General Store, Inc.",Domestic Business Corporation,082128,Inactive - Administratively Terminated,," NEWPORT CTR, VT, 05857, USA",None,,,,,,,,EUNICE MCGILL Agent,Individual,Active,None Registered Office (Street,"P.O. BOX 7, NEWPORT CTR, VT, 05857, USA","P.O. BOX 7, NEWPORT CTR, VT, 05857, USA"
West Addison General Store,Assumed Name,286068,Active - Registered,, None,"5944 VT RTE 17W, ADDISON, VT, 05491, USA",2013-06-25,,,"CIRCA 1929, INC.",Business,"5944 VT ROUTE 17 WEST, ADDISON, VT, 05491, USA","5944 VT ROUTE 17 WEST, ADDISON, VT, 05491, USA",,,,,,
Teago General Store,Assumed Name,182214,Inactive - Expired,," POMFRET, VT, USA","2035 POMFRET RD, POMFRET, VT, 05067, USA",2011-02-22,,,"STAGE ROAD ENTERPRISES,IN, STAGE ROAD ENTERPRISES, INC.",Business,"2035 POMFRET RD, POMFRET, VT, 05067, USA, 2035 POMFRET RD/POB 127, SO POMFRET, VT, 05067, USA","None, 2035 POMFRET RD, SO POMFRET, VT, 05067, USA",,,,,,
Bakersfield General Store,Assumed Name,210485,Inactive - Expired,," RT 108, BAKERSFIELD, VT, 5450, USA","RT 108, BAKERSFIELD, VT, 05450, USA",1984-10-26,,,"GARY F.  RIGGS, SUSAN B.  RIGGS",Individual,"RD 2, BOX 108, ENOSBURG FLS, VT, 05450, USA, SAME, USA","None, None",,,,,,
Granville General Store,Assumed Name,181330,Inactive - Expired,," GRANVILLE, VT, USA","PO BOX 59-5358 VT RT, GRANVILLE, VT, 05747, USA",2011-01-25,,,"SARGEANT ENTERPRISES, INC, SARGEANT ENTERPRISES, INC.",Business,"PO BOX 59-5358 VT RT, GRANVILLE, VT, 05747, USA, 5358 VT ROUTE 100, GRANVILLE, VT, 05747, USA","None, 5358 VT ROUTE 100, GRANVILLE, VT, 05747, USA",,,,,,
Putney General Store,Assumed Name,286831,Inactive - Cessated,, None,"114 OLD STAGE RD, PUTNEY, VT, 05346, USA",2013-09-18,,,"JOLLY BEE, LLC, JOLLY BEE, LLC",Business,"114 OLD STAGE RD, PUTNEY, VT, 05346, USA, 4 KIMBALL HILL RD, PUTNEY, VT, 05346, USA","None, PO Box 508, PUTNEY, VT, 05346, USA",,,,,,
Barnard General Store,Assumed Name,416085,Active - Registered,, None,"PO Box 245, Barnard, VT, 05031, USA",2022-09-20,,,"BARNARD COMMUNITY TRUST, INC.",Business,"6134 VT-12, BARNARD, VT, 05031, USA","Po Box 262, Barnard, VT, 05031, USA",,,,,,
Pittsfield General Store,Assumed Name,227212,Inactive - Expired,," PITTSFIELD, VT, 5762, USA",None,1986-06-10,,,"J. & W. HEINES, INC.",Business,"RTE 100, PITTSFIELD, VT, 05762, USA","RTE 100, PITTSFIELD, VT, 05762, USA",,,,,,
Carey's General Store,Assumed Name,171443,Inactive - Expired,," RTE 14, BOX 242, E. MONTPELIER, VT, 5651, USA","RTE 14, BOX 242, E. MONTPELIER, VT, 05651, USA",1980-05-05,,,"RICHARD CAREY, CONRAD CAREY",Individual,"None, None","None, None",,,,,,
Perry's General Store,Assumed Name,158386,Inactive - Expired,," SCHOOL STREET, E. WALLINGFORD, VT, 5742, USA","SCHOOL STREET, E. WALLINGFORD, VT, 05742, USA",1979-10-25,,,GEORGE F.  PERRY,Individual,"RD 1, SHREWSBURY, VT, 05738, USA",None,,,,,,
Kilgore's General Store,Assumed Name,261753,Inactive - Expired,," MAIN ST/RTE 118, MONTGOMERY CTR, VT, 5471, USA","MAIN ST/RTE 118, MONTGOMERY CTR, VT, 05471, USA",1989-05-11,,,"BARRY EAST, MORGAN EAST  DAVIDSON, AGATHA EAST",Individual,"None, BOX 411, RR#1, MONTGOMERY CTR, VT, 05471, USA, BOX 860, RR#1, MONTGOMERY CTR, VT, 05471, USA","None, None, None",,,,,,
Little Otter General Store,Assumed Name,263889,Inactive - Expired,," FERRISBURGH, VT, USA",None,2007-10-17,,,"VERMONT ENERGY CO., LLC, VERMONT ENERGY CO., LLC",Business,"287 UPPER OLD TOWN T, CHARLOTTE, VT, 05445, USA, 53 Falls Road, Shelburne, VT, 05482, USA","None, PO Box 335, Shelburne, VT, 05482, USA",,,,,,
Ray's General Store,Assumed Name,174016,Inactive - Expired,," RICHMOND RD, HINESBURG, VT, 5461, USA","RICHMOND RD, HINESBURG, VT, 05461, USA",1980-09-23,,,"RAYMOND J.  BERARD, JACQUELINE BERARD",Individual,"RICHMOND ROAD, HINESBURG, VT, 05461, USA, SAME, USA","None, None",,,,,,
Franklin General Store,Assumed Name,286752,Inactive - Cessated,, None,"331 sandy bay rd, FRANKLIN, VT, 05457, USA",2013-09-11,,,"WILLIAM L  MAYO, SUSAN B  MAYO",Individual,"5243 MAIN ,PO BOX 57, FRANKLIN, USA, 5243 Main St, 5243 Main St, Franklin, VT, 05457, USA","None, None",,,,,,
Pittsfield General Store,Assumed Name,233024,Inactive - Expired,," PITTSFIELD, VT, USA","POB 708, PITTSFIELD, VT, 05762, USA",1996-06-25,,,"C & J FOODS, INC.",Business,"RTE 100 PITTSFIELD GENER, PITTSFIELD, VT, 05762, USA","RTE 100 PITTSFIELD GENER, PITTSFIELD, VT, 05762, USA",,,,,,
The East Calais General Store,Assumed Name,200948,Inactive - Expired,," EAST CALAIS, VT, USA",None,2012-04-23,,,"LAPAN ENTERPRISES LLC, LAPAN ENTERPRISES, LLC",Business,"PO BOX 88, E CALAIS, VT, 05650, USA, 4520 VT RT 14, PO BOX 88, E CALAIS, VT, 05650, USA","None, 4520 VT RT 14, PO BOX 88, E CALAIS, VT, 05650, USA",,,,,,
Craftsbury General Store,Assumed Name,346169,Inactive - Expired,, None,"118 S. Craftsbury Road, Craftsbury, VT, 05826 - 1452, USA",2018-07-31,,,Emily Maclure,Individual,"118 S. Craftsbury Road, Craftsbury, VT, 05826 - 1452, USA",None,,,,,,
Mountain Paul's General Store,Assumed Name,248036,Inactive - Expired,," PUTNEY, VT, 5346, USA","PO BOX 598, PUTNEY, VT, 05346, USA",2006-07-14,,,"PAUL E  MOUSEL, BENJAMIN J  MOUSEL",Individual,"None, PO BOX 598, PUTNEY, VT, 05346, USA","None, None",,,,,,
"Ac's General Store, LLC",Domestic Limited Liability Company,284556,TerminatedDesignated Office,,,"(Optional) 11 ON THE GREENE, PO Box 566, E POULTNEY, VT, 05741, USA",,,,,,,,,,,,,
Sunrise General Store,Assumed Name,180685,Inactive - Expired,," BRIDGEWATER, VT, 5035, USA","Jct Rt 4 & 100 South/44 Route 4, BRIDGEWATER CORNERS, VT, 05035, USA",2002-03-20,,,"RIPPIN, INC.",Business,"JCT RT 4 & 100 SOUTH/44 Route 4, BRIDGEWATER CN, VT, 05035, USA","JCT RT 4 & 100 SOUTH/44 Route 4, BRIDGEWATER CN, VT, 05035, USA",,,,,,
Ar Irasburg General Store Corp.,Domestic Business Corporation,487274,Active - In Good Standing,," 6196 VT Route 14, Irasburg, VT, 05845 - 9305, USA","10 WHITTIER DRIVE, BOW, NH, 03304, USA",,,,,,,,ANKIT PATEL Agent,Individual,Active,None Registered Office (Street,"7788 VT-113, POSTMILLS, VT, 05058, USA","7788 VT-113, POSTMILLS, VT, 05058, USA"
"The Pomfret Road General Store, LLC",Domestic Limited Liability Company,335152,Active - In Good StandingDesignated Office,,,"(Optional) c/o Richard Baccari, PO Box 1014, NY, 10598, USA",,,,,,,,,,,,,
"Berardinelli's General Store, Inc.",Domestic Business Corporation,062004,Inactive - Administratively Terminated,," MAIN ST RT 104, FAIRFAX, VT, 05454, USA","MAIN ST RT 104, FAIRFAX, VT, 05454, USA",,,,,,,,FRANK BERARDINELLI Agent,Individual,Active,None Registered Office (Street,"RFD, BOX 1620, CAMBRIDGE, VT, 05444, USA","RFD, BOX 1620, CAMBRIDGE, VT, 05444, USA"
East Poultney General Store,Assumed Name,195930,Inactive - Expired,," POULTNEY, VT, USA",None,2012-01-03,,,"GENERAL STORE  TWENTY-FOUR, GENERAL STORE TWENTY-FOUR SEVEN, LLC",Individual,"PO BOX 647, 11 ON TH, E POULTNEY, VT, 05741, USA, 11 ON THE GREEN,POBOX647, EAST POULTNEY, VT, 05741, USA","None, 11 ON THE GREEN,POBOX647, EAST POULTNEY, VT, 05741, USA",,,,,,
Swanton General Store,Assumed Name,156612,Inactive - Expired,," 71 FIRST STREET, SWANTON, VT, 5488, USA","71 FIRST STREET, SWANTON, VT, 05488, USA",1991-04-09,,,"WILLIAM LADABOUCHE, ROXANNE LADABOUCHE",Individual,"19 BROADWAY STREET, SWANTON, VT, 05488, USA, SAME, USA","None, None",,,,,,
Monkton General Store,Assumed Name,230630,Inactive - Expired,," RD 1, N. FERRISBURG, VT, 5473, USA","RD 1, N. FERRISBURG, VT, 05473, USA",1986-10-06,,,J.P. CYR INC.,Business,None,None,,,,,,
"Fireside General Store, The",Assumed Name,158865,Inactive - Expired,," 9 MAIN ST, ESSEX JCT., VT, 5452, USA","9 MAIN ST, ESSEX JCT., VT, 05452, USA",1980-03-17,,,"FIRESIDE SHOP, INC.",Business,None,None,,,,,,
Mcgarry's General Store,Assumed Name,177430,Inactive - Expired,," WALLINGFORD, VT, 5773, USA","RD 1, BOX 348, WALLINGFORD, VT, 05773, USA",1981-04-06,,,"JOHN J.  MCGARRY, ELOISE S.  MCGARRY",Individual,"RD 1, BOX 348, WALLINGFORD, VT, 05773, USA, SAME, USA","None, None",,,,,,
Tc's General Store,Assumed Name,196339,Inactive - Expired,," JUNCT 4 & 100, W. BRIDGEWATER, VT, 5035, USA","JUNCT 4 & 100, W. BRIDGEWATER, VT, 05035, USA",1993-09-21,,,"C/O AUGUST  STUART, S & C VENTURES, INC.",Individual,"RR 1, BOX 3094, KILLINGTON, VT, 05751, USA, 140 BEARLY HI WAY, KILLINGTON, VT, 05751, USA","None, 140 BEARLY HI WAY, KILLINGTON, VT, 05751, USA",,,,,,
Belmont General Store,Assumed Name,325695,Inactive - Expired,, None,"PO Box 263, Belmont, VT, 05730 - 0263, USA",2016-12-22,,,"HOLLYBROOK MEADOWS, LLC",Business,"4841 VT RTE 155, MOUNT HOLLY, VT, 05758, USA","PO Box 263, Belmont, VT, 05730, USA",,,,,,
"Jim And Gloria's General Store, Inc.",Domestic Business Corporation,120388,Inactive - Administratively Terminated,," ROUTE 100, PITTSFIELD, VT, 05762, USA","ROUTE 100, PITTSFIELD, VT, 05762, USA",,,,,,,,RODNEY E  MCPHEE Agent,Individual,Active,None Registered Office (Street,"71 ALLEN STREET, RUTLAND, VT, 05701, USA","71 ALLEN STREET, RUTLAND, VT, 05701, USA"
Hasgas General Store,Assumed Name,212491,Active - Registered,," DORSET, VT, USA","1567 ROUTE 30, DORSET, VT, 05251, USA",2013-01-28,,,VICKIE HASKINS,Individual,"1791 Route 30, Dorset, VT, 05251, USA",None,,,,,,
"Dick & Glenda's General Store, Inc.",Domestic Business Corporation,089675,Dissolved,," MAIN STREET, VERGENNES, VT, 05491, USA","MAIN STREET, VERGENNES, VT, 05491, USA",,,,,,,,IRENE S.  THOMAS Agent,Individual,Active,None Registered Office (Street,"PO BOX 103, VERGENNES, VT, 05491, USA","PO BOX 103, VERGENNES, VT, 05491, USA"
Center General Store  The,Assumed Name,207699,Inactive - Expired,," WATERBURY CTR, VT, 5677, USA",None,2003-08-28,,,SUSAN L  GRANT,Individual,"2026 BLUSH HILL RD, WATERBURY, VT, 05676, USA",None,,,,,,
"East Corinth General Store, Inc.",Reserved Name,143078,Inactive - ExpiredApplicant,"8392 VT RTE 25, EAST CORINTH, VT, 05040, USA",,,,No NAICS info found.,,,,,,,,,,,
Sanfo General Store LLC,Domestic Limited Liability Company,396790,Active - In Good StandingDesignated Office,,,"(Optional) 8 CHATHAM SQUARE STE 803, NEW YORK, NY, 10038, USA",,,,,,,,,,,,,
South Newfane General Store,Assumed Name,255035,Inactive - Expired,," DOVER ROAD/BOX 216, SOUTH NEWFANE, VT, 5351, USA","DOVER ROAD/BOX 216, SOUTH NEWFANE, VT, 05351, USA",1988-10-18,,,"SNGS, INC.",Business,None,None,,,,,,
Northwoods General Store,Assumed Name,319594,Inactive - Expired,, None,"160 Wild Rose Circle, Shelburne, VT, 05482, USA",2016-06-06,,,Michael Collins,Individual,"160 Wild Rose Circle, Shelburne, VT, 05482, USA",None,,,,,,
Perkinsville General Store,Assumed Name,234803,Inactive - Expired,," ROUTE 106, PERKINSVILLE, VT, 5151, USA","ROUTE 106, PERKINSVILLE, VT, 05151, USA",1987-02-20,,,"THOMAS C.  BANKS, KATHLEEN E.  BANKS",Individual,"ROUTE 106, PERKINSVILLE, VT, 05151, USA, SAME, USA","None, None",,,,,,
Brownsville General Store,Assumed Name,152564,Inactive - Expired,," RTE 44, MAIN STREET, WEST WINDSOR, VT, 5037, USA","RTE 44, MAIN STREET, WEST WINDSOR, VT, 05037, USA",1988-12-05,,,"RODNEY P.  DIMICK, PAUL KELLEY",Individual,"BOX 13, WEST WINDSOR, VT, 05037, USA, BOX 21, WEST WINDSOR, VT, 05037, USA","None, None",,,,,,
Northfield Falls General Store,Assumed Name,215805,Inactive - Expired,," NORTHFIELD FAL, VT, 5664, USA",None,2004-02-25,,,"NAIDA WOLF, RICHARD WOLF",Individual,"None, 9 GREENHOUSE AVE, RANDOLPH, VT, 05060, USA","None, None",,,,,,
Charlotte General Store LLC,Domestic Limited Liability Company,373745,Active - NOT In Good StandingDesignated Office,,,"(Optional) 20 Jackson Hill Road, Charlotte, Charlotte, VT, 05445, USA",,,,,,,,,,,,,
"North Tunbridge General Store, Ltd.",Domestic Business Corporation,124901,Inactive - Administratively Terminated,," 136 Washington Turnpike, PO Box 190, Chelsea, VT, 05038, USA","136 Washington Turnpike, PO Box 190, Chelsea, VT, 05038, USA",,,,,,,,STACEY FLANDERS Agent,Individual,Active,None Registered Office (Street,"359 VT. RT 110, CHELSEA, VT, 05038, USA","359 VT. RT 110, CHELSEA, VT, 05038, USA"
Ar General Store Inc,Domestic Business Corporation,418899,Active - In Good Standing,," 7788 VT-113, POSTMILLS, VT, 05058, USA","10 WHITTIER DRIVE, BOW, NH, 03304, USA",,,,,,,,ANKIT PATEL Agent,Individual,Active,None Registered Office (Street,"7788 VT-113, POSTMILLS, VT, 05058, USA","7788 VT-113, POSTMILLS, VT, 05058, USA"
"Grand Isle General Store And Kitchen, Inc. The",Domestic Business Corporation,115671,Inactive - Administratively Terminated,, None,None,,,,,,,,LEIGH KEYSER  PHILLIPS Agent,Individual,Active,None Registered Office (Street,"308 MAIN STREET, BURLINGTON, VT, 05401, USA","PO BOX 466, BURLINGTON, VT, 05402 - 0466, USA"
Walden General Store,Assumed Name,234617,Inactive - Expired,," WALDEN, VT, USA",None,2005-07-20,,,"ROGER HOOKER, DONNA ALDRICH-HOOKER",Individual,"None, 72 HILLSIDE DR, W DANVILLE, VT, 05873, USA","None, None",,,,,,
Baker's General Store,Assumed Name,424968,Active - Registered,, None,"10, WHITTER DRIVE, BOW, NH, 03304, USA",2023-03-14,,,AR GENERAL STORE INC,Business,"7788 VT-113, POSTMILLS, VT, 05058, USA","10 WHITTIER DRIVE, BOW, NH, 03304, USA",,,,,,
"Falls General Store, LLC",Domestic Limited Liability Company,280212,Active - In Good StandingDesignated Office,,,"(Optional) P. O. Box 93, Northfield Falls, VT, 05664, USA",,,,,,,,,,,,,
Falls General Store,Assumed Name,211984,Active - Registered,," NORTHFIELD FAL, VT, USA","P. O. Box 515, 5031 Main Street, Waitsfield, VT, 05673, USA",2013-01-24,,,"FALLS GENERAL STORE, LLC",Business,"7 COX BROOK RD, NORTHFIELD FALLS, VT, 05664, USA","P. O. Box 93, Northfield Falls, VT, 05664, USA",,,,,,
Bennett's Cavendish General Store,Assumed Name,228612,Inactive - Expired,," CAVENDISH, VT, 5142, USA","PO BOX 446, CAVENDISH, VT, 05142, USA",1996-02-28,,,"RONNIE C.  BENNETT, LINDA M.  BENNETT",Individual,"PO BOX 446, CAVENDISH, VT, 05142, USA, SAME, USA","None, None",,,,,,
Jacksonville General Store,Assumed Name,177175,Inactive - Expired,," PO BOX 307, JACKSONVILLE, VT, 5342, USA","PO BOX 307, JACKSONVILLE, VT, 05342, USA",2002-01-04,,,"JACKSONVILLE PURVEYORS, LLC",Business,"3054 RTE 100, P O Box 307, JACKSONVILLE, VT, 05342, USA","3110 Route 100, P O Box 307, JACKSONVILLE, VT, 05342, USA",,,,,,
"Cardinal General Store, LLC",Domestic Limited Liability Company,331349,Active - NOT In Good StandingDesignated Office,,,"(Optional) 271 SHAW ROAD, CAMBRIDGE, VT, 05444, USA",,,,,,,,,,,,,
Mach's General Store,Assumed Name,166650,Inactive - Expired,," PAWLET, VT, USA",None,2001-04-23,,,"COWHEAD, INC.",Business,"155 SCHOOL STREET, PAWLET, VT, 05761, USA","155 SCHOOL STREET, PAWLET, VT, 05761, USA",,,,,,
"Quechee General Store, Inc.",Domestic Business Corporation,369409,Active - In Good Standing,," 5573 Woodstock Road, Quechee, VT, 05059, USA","5573 Woodstock Road, Quechee, VT, 05059, USA",,,,,,,,"Darby Kolter & Nordle, LLP Agent",Business,Active,None Registered Office (Street,"89 South Main Street, Waterbury, VT, 05676, USA","89 South Main Street, Waterbury, VT, 05676, USA"
"Crossman's General Store, LLC",Domestic Limited Liability Company,397480,Active - In Good StandingDesignated Office,,,"(Optional) 120 Fitzgerald Rd, Middletown Springs, VT, 05757, USA",,,,,,,,,,,,,
South Dorset General Store,Assumed Name,232026,Inactive - Expired,," ROUTE 30, DORSET, VT, 5251, USA","ROUTE 30, DORSET, VT, 05251, USA",1986-11-24,,,RICHARD F.  FRENCH,Individual,"LANE ROAD/, DORSET, VT, 05251, USA",None,,,,,,
Peters' General Store,Assumed Name,243011,Inactive - Expired,," BENSON, VT, USA",None,1997-04-30,,,"PETERS' GENERAL STORE, INC.",Business,"2813 RT 22A, BENSON, VT, 05731, USA","2813 RT 22A, BENSON, VT, 05731, USA",,,,,,
"P.J.'s General Store, Inc.",Domestic Business Corporation,112253,Dissolved,," RT 103, E WALLINGFORD, VT, 05742, USA","RT 103, E WALLINGFORD, VT, 05742, USA",,,,,,,,JOSEPH W. KOZLIK                                                                                     Agent,Business,Active,None Registered Office (Street,"198 NORTH MAIN STREET, RUTLAND, VT, 05701, USA","198 NORTH MAIN STREET, RUTLAND, VT, 05701, USA"
Corner Brook General Store Inc.,Domestic Business Corporation,114825,Inactive - Administratively Terminated,," PO BOX 233, MARSHFIELD, VT, 05658, USA","PO BOX 233, MARSHFIELD, VT, 05658, USA",,,,,,,,KERRY O'ROURKE Agent,Individual,Active,None Registered Office (Street,"RTE 2 BOX 233, MARSHFIELD, VT, 05658, USA","RTE 2 BOX 233, MARSHFIELD, VT, 05658, USA"
Barnard General Store,Assumed Name,204797,Inactive - Expired,," BARNARD, VT, USA","PO BOX 262, BARNARD, VT, 05031, USA",2012-07-19,,,"BARNARD COMMUNITY TRUST, INC.",Business,"6134 VT-12, BARNARD, VT, 05031, USA","Po Box 262, Barnard, VT, 05031, USA",,,,,,
Lowell General Store,Assumed Name,247214,Inactive - Expired,," LOWELL, VT, USA","BOX 65 RT 100, LOWELL, VT, 05847, USA",1997-09-08,,,"GARY KENNISON, CINDY KENNISON",Individual,"BOX 65 RT 100, LOWELL, VT, 05847, USA, SAME, USA","None, None",,,,,,
East Main General Store,Assumed Name,182503,Inactive - Expired,," NEWPORT CITY, VT, 5857, USA",None,2002-04-16,,,"ONE-STOP MINI MART, INC.",Business,"477 East Main Street, NEWPORT, VT, 05855, USA","477 East Main Street, NEWPORT, VT, 05855, USA",,,,,,
Craftsbury General Store,Assumed Name,285696,Inactive - Expired,, None,"118 S CRAFTSBURY RD, CRAFTSBURY, VT, 05826, USA",2013-05-16,,,EMILY MACLURE,Individual,"118 S CRAFTSBURY RD, CRAFTSBURY, VT, 05826, USA",None,,,,,,
Williams General Store,Assumed Name,165576,Inactive - Expired,," TUNBRIDGE, VT, 5077, USA",None,1979-06-06,,,"DAVID WILLIAMS, RUTH WILLIAMS",Individual,"RTE 110, NO TUNBRIDGE, VT, 05077, USA, SAME, USA","None, None",,,,,,
Lower Cabot General Store,Assumed Name,216143,Inactive - Expired,," STAR RTE/BOX 127, MARSHFIELD, VT, 5658, USA","STAR RTE/BOX 127, MARSHFIELD, VT, 05658, USA",1985-05-07,,,"KAROL ANN  SALERNO, BERNARD J.  SALERNO",Individual,"SAME, USA, STAR RTE/PO BOX 127, MARSHFIELD, VT, 05658, USA","None, None",,,,,,
East Corinth General Store,Assumed Name,271190,Inactive - Expired,," 10263 VERMONT RT 25, EAST CORINTH, VT, 5040, USA","10263 VERMONT RT 25, EAST CORINTH, VT, 05040, USA",1999-09-21,,,SHEILA CHALOUX,Individual,"10263 VERMONT RT 25, EAST CORINTH, VT, 05040, USA",None,,,,,,
Vershire General Store,Assumed Name,184750,Inactive - Expired,," RT 113, VERSHIRE, VT, 5079, USA","RT 113, VERSHIRE, VT, 05079, USA",1993-03-11,,,JOHN SMITH,Individual,"POB 254, HARTFORD, VT, 05047, USA",None,,,,,,
"Lower Cabot General Store, LLC",Domestic Limited Liability Company,017113,Inactive - Administratively TerminatedDesignated Office,,,"(Optional) 1782 ROUTE 215, CABOT, VT, 05647, USA",,,,,,,,,,,,,
The General Store At Sugarbush,Assumed Name,309787,Inactive - Cessated,, None,"1840 Sugarbush Access Road, Warren, VT, 05674, USA",2015-12-04,,,"SUGARBUSH RESTAURANTS, INC.",Business,"1840 SUGARBUSH ACCESS RD, WARREN, VT, 05674, USA","1840 SUGARBUSH ACCESS RD, WARREN, VT, 05674, USA",,,,,,
Readsboro General Store,Assumed Name,245898,Inactive - Expired,," TUNNEL STREET, READSBORO, VT, 5350, USA","TUNNEL STREET, READSBORO, VT, 05350, USA",1988-02-05,,,"THOMAS J.  DENTE, BRENDA L.  DENTE",Individual,"RD 1 BOX 44, READSBORO, VT, 05350, USA, SAME, USA","None, None",,,,,,
Stoddard's General Store,Assumed Name,221475,Inactive - Expired,," LUDLOW, VT, USA",None,1995-08-07,,,"TERRANCE D.  STODDARD, LINDA L.  STODDARD",Individual,"POB 432, LONDONDERRY, VT, 05148, USA, SAME, USA","None, None",,,,,,
Snowsville General Store,Assumed Name,325474,Inactive - Expired,, None,"4642 VT RT 12, Braintree, VT, 05060, USA",2016-12-14,,,Eugene Booska,Individual,"4642 vt rt 12, Braintree, VT, 05060, USA",None,,,,,,
Franklin General Store,Assumed Name,430027,Active - Registered,, None,"301 SHADY MAPLE LANE, FRANKLIN, VT, 05457, USA",2023-06-13,,,"KENNETH COREY, PATTI COREY",Individual,"301 SHADY MAPLE LANE, FRANKLIN, VT, 05457, USA, 301 SHADY MAPLE LANE, FRANKLIN, VT, 05457, USA","301 SHADY MAPLE LANE, FRANKLIN, VT, 05457 - 0545, USA, 301 SHADY MAPLE LANE, FRANKLIN, VT, 05457 - 0545, USA",,,,,,
Machs General Store,Assumed Name,310271,Inactive - Expired,, None,"PO BOX 84  18 SCHOOL STREET, PAWLET, VT, 05761, USA",2015-12-21,,,Gilbert Mach,Individual,"287 Andrus Drive, Pawlet, VT, 05761, USA",None,,,,,,
Danville General Store,Reserved Name,139355,Inactive - ExpiredApplicant,"11 ROUTE 2 EAST, DANVILLE, VT, 05828, USA",,,,No NAICS info found.,,,,,,,,,,,
Notchbrook General Store 4974,Assumed Name,496577,Active - Registered,," 4974 Mountain Rd, Stowe, VT, 05672 - 5352, USA","4974 Mountain Rd, Stowe, VT, 05672 - 5352, USA",2026-07-25,,,VISAT 4974 CORP.,Business,"4974 Mountain Rd, Stowe, VT, 05672 - 5353, USA","92 Duprey Rd, North Conway, NH, 03860 - 5406, USA",,,,,,
Orleans General Store,Assumed Name,220513,Inactive - Expired,," ORLEANS, VT, USA",None,1995-07-10,,,"KEVIN INGALLS, ALLISON LYON",Individual,"POB Q, BARTON, VT, 05822, USA, SAME, USA","None, None",,,,,,
Dollar General Stores,Assumed Name,483985,Active - Registered,," 100 Mission Ridge, Goodlettsville, TN, 37072, USA",None,2026-01-13,,,"DG RETAIL, LLC",Business,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072, USA",None,,,,,,
Center General Store L.L.C.  The,Domestic Limited Liability Company,000722,TerminatedDesignated Office,,,"(Optional) 2007 GUPTIL ROAD, BOX D, WATERBURY CTR, VT, 05677, USA",,,,,,,,,,,,,
East Poultney General Store,Assumed Name,289986,Inactive - Expired,, None,"11 on the Green, East Poultney, VT, 05741, USA",2014-02-21,,,"AC'S GENERAL STORE, LLC",Business,"11 ON THE GREENE, E POULTNEY, VT, 05741, USA","11 ON THE GREENE, PO Box 566, E POULTNEY, VT, 05741, USA",,,,,,
Bakersfield General Store LLC,Domestic Limited Liability Company,299131,Inactive - Administratively TerminatedDesignated Office,,,"(Optional) 364 Courser Road, Enosburg Falls, VT, 05450 - 120, USA",,,,,,,,,,,,,
Lowell General Store  LLC,Domestic Limited Liability Company,327988,TerminatedDesignated Office,,,"(Optional) 3042 VT RT 100, LOWELL, VT, 05847, USA",,,,,,,,,,,,,
Putney General Store,Assumed Name,362337,Inactive - Expired,, None,"4 Kimball Hill Road, Putney, VT, 05346, USA",2019-09-09,,,PGS GROUP LLC,Business,"4 Kimball Hill, Putney, VT, 05346, USA","4 Kimball Hill, Putney, VT, 05346, USA",,,,,,
The General Store At Sugarbush,Assumed Name,176487,Inactive - Expired,," WARREN, VT, USA","1840 SUGARBUSH ROAD, WARREN, VT, 05674, USA",2010-09-30,,,"SUGARBUSH RESTAURANTS, INC.",Business,"1840 SUGARBUSH ACCESS RD, WARREN, VT, 05674, USA","1840 SUGARBUSH ACCESS RD, WARREN, VT, 05674, USA",,,,,,
Lincoln General Store,Assumed Name,266299,Inactive - Expired,," RD #1, BOX 1815, BRISTOL, VT, 5443, USA","RD #1, BOX 1815, BRISTOL, VT, 05443, USA",1989-09-22,,,"MARK A.  LAFRAMBOISE, KATHRYN B.  LAFRAMBOISE",Individual,"350 FOOTE STREET, MIDDLEBURY, VT, 05753, USA, SAME, USA","None, None",,,,,,
"Perkinsville General Store, The",Assumed Name,157225,Inactive - Expired,," MAIN STREET, PERKINSVILLE, VT, 5151, USA","MAIN STREET, PERKINSVILLE, VT, 05151, USA",1979-06-21,,,"MARCIA TANGER, ANDREW TANGER, TANGERS, INC. (THE)",Individual,"None, SAME, USA, RT.155 BX 1124B, E. WALLINGFORD, VT, 05742, USA","None, None, RT.155 BX 1124B, E. WALLINGFORD, VT, 05742, USA",,,,,,
"Boudreau's General Store, Inc.",Domestic Business Corporation,097583,Inactive - Administratively Terminated,," LEICESTER, VT, 05752, USA",None,,,,,,,,ARTHUR J.  BOUDREAU Agent,Individual,Active,None Registered Office (Street,"RD #2, BRANDON, VT, 05377, USA","RD #2, BRANDON, VT, 05377, USA"
